text	label
Guten Morgen.	de
Ich bin in einem Motelzimmer.	de
Das ist eine Leihgabe, ok?	de
- Tja wir haben noch andere Themen...	de
Eines Tages werde ich dir sagen, was es ist.	de
Die Operation hätte kein Arzt gemacht, dem ich nicht vertraue.	de
Dann macht sie eben nicht unmoralisch!	de
Odi!	de
- Kein Gold.	de
Dass ich keine Lust mehr habe, dich an mich zu drücken, deine Haut zu riechen, deine Schultern zu streicheln,	de
Ganz genau. Gott ist persönlich aus dem Himmel herabgestiegen.	de
Und sie kannte Tausende von Witzen.	de
Und ein Adrenalinjunkie.	de
Ich gehe einkaufen. Du kannst Zeit mit den Kindern verbringen, bevor du fährst.	de
Hallo.	de
Diese Maschine wurde einzig und allein von mir erdacht, was, wie ich jetzt weiß, nicht genug war.	de
Du bist der Meister darin.	de
- Nein!	de
Gespannt und aufmerksam beobachtet das Ufer die Potemkin.	de
Direkt vor deinem Haus? Wie die läufigen Hunde.	de
Es geht doch nicht um Träume.	de
Großartig. Er ist aufgeregt.	de
Danke, Monsieur Remy.	de
Das gehört dir ganz allein.	de
Hat er jemanden mitgebracht? Eine Freundin?	de
Ruf einen Rettungswagen.	de
Was machen Sie?	de
Grummel?	de
Ich habe mit Soso gesprochen.	de
Gentlemen, danke für Ihr Kommen.	de
Ich sage auch nicht, dass ich euch getroffen habe.	de
In diesem Moment parkt der Mann mit den roten Turnschuhen am Seiteneingang.	de
Willst du deinen Onkel Doug umarmen?	de
Noch Fragen?	de
Die Betten sind verwaist.	de
Du hast mein Herzblut getrunken.	de
Es ist sehr schwierig, Sir.	de
Herrgott noch mal!	de
- Und der Preis...	de
Bitte hilf mir.	de
Gehen wir zurück in den Kreis.	de
Aber wir machten sie glauben, dass es so war.	de
Es ist eine Erleichterung, nicht immer so einen trübseligen Typen um sich zu haben.	de
- Keinen Gin heute, Sohn!	de
- Dreh um!	de
- Oh, mein Gott!	de
Und auch Tsurumaru?	de
Nein.	de
Wieso nicht?	de
Die Legende erzählt von einem Sterblichen, der einst einen Dämon aus der Hölle rief, um dessen dunkle Macht zu erlangen.	de
- Tu es. - Nein! - Tu es.	de
Es machte die Situation unerträglich. Ich fand mit Hilfe der Polizeiakten heraus, dass Jason ein paar Monate nach seinem Verschwinden die Polizei angerufen und ausgesagt hatte, dass sein Bruder versucht hatte, in das Haus einzudringen.	de
Danke.	de
Werden Menschen darunter leiden.	de
Hat der gerade Test gesagt?	de
Und verzeih mir Alles	de
Wie wär's damit? Ich sag's nur einmal.	de
Dann mal los.	de
Annie.	de
So weit gegangen.	de
Cindy.	de
"""Oh ja gelehrter Mann, ich Nichtswürdige bin des Nachts durch die Luft geflogen, auf Trinas Besen zum Brocken."""	de
Bist trotzdem süß.	de
Mister Zhang, das ist Miss Vee, Mr. Pramuks stellvertretende Assistentin.	de
Hat es der Präsident?	de
Ja?	de
