text	label
No women.	en
Again.	en
V8!	en
No gold!	en
One last thing.	en
SINGER 2: Three little maids take one away	en
Kim, you can lift it with one hand, right?	en
I know, I know.	en
The anti-gravs are rigged to flip.	en
The first time he talked on the phone. He read Mark Twain stories and didn't realize they were old.	en
Mr. Hendricks, you are heterosexual, yes?	en
Is it?	en
Children are important for such a young country.	en
Lowery, are you still there?	en
Do you think I'm proud of myself?	en
You're back-up.	en
- Where are the toilets?	en
If you don't make it through tonight, you're dead to all of us.	en
We just want a peaceful march.	en
Sorry, is that choking you?	en
- l cooked the duck! - lt's okay. People are coming, you know.	en
It's just that I just get to do everything by myself.	en
Thank you for listening... and for my present.	en
My roots are here.	en
How lucky you are, Milou,	en
- Oh, you'll like him.	en
No, Carmine.	en
- My office.	en
"- ""Fine""?"	en
But when I was pensioned, I moved here.	en
That is all you need to know.	en
Oh, watch out, Norma, Flaca is moving in on your territory.	en
Well, it's a pretty...	en
What did you think of?	en
- Hi, Helen.	en
Well, simultaneous orgasm is a romantic notion, but it's not the norm.	en
You look like Pagford people to me.	en
I love you.	en
I hope so.	en
A large box...	en
Well, as long as the lady's paying for it, why not take the vicuna?	en
I love you so much.	en
Enjoy.	en
- I'm coming!	en
What do you think so far?	en
It was a few days before you signed the contract.	en
Hello!	en
The insurance company guy thought I was joking with him.	en
He's Momo.	en
How come I don't hear nobody saying nothing?	en
Mama always had a way of explaining things so I could understand them.	en
that's good.	en
It's my pleasure.	en
I asked him to come.	en
She's perfect.	en
Be careful... Those things can go off all by themselves.	en
Little A'Le'Inn.	en
What the hell are you doing here?	en
One day, I swear, I'll kill him.	en
Here.	en
We don't think I can have one, a child.	en
Yeah, yeah, yeah.	en
Everyone.	en
Okay, let's go out the back.	en
I can fucking feel it all over.	en
Please.	en
Your prototype's been controlling you.	en
(Thora): I thought I was getting an exclusive on this.	en
You tell me, you're picking one.	en
And one of them was my great-great grandmother.	en
- A bathroom.	en
Now Paula, I'm just going on a little vacation, you know that.	en
- I've left in the third grade.	en
If there were no gods at all, I'd revere them.	en
And you are looking at nothing out the window.	en
Yeah, I didn't know you had wheels like that, bro.	en
- Especially Engineering.	en
Just a thought, pal.	en
Jean, don't contradict Alexander.	en
They think he'll survive, but he was seriously wounded.	en
Castor!	en
Sit down.	en
Turn left!	en
Who's getting the address? The street?	en
Someone was making tea!	en
No, no. I just...	en
Don't touch him!	en
We didn't do anything!	en
Don't film from that side. Film from this side over here.	en
- When did you come in?	en
This is going to be my spitter.	en
What the hell do you do?	en
This stupid crime's mucked up our front page.	en
which we were told, Bob, after he went to see your father and he felt rejected, he wrote this song about that experience.	en
This doesn't make any sense.	en
No.	en
Dave up on c, you should see the look in his eyes.	en
- Can too.	en
Yeah, sir, you might want to send a maintenance man over to that office across the way.	en
Come on.	en
I already see it.	en
What does your horoscope ? You'll meet a great guy ?	en
But no one knows	en
No, you don't leave.	en
Our girls don't wait for leap year. They choose their partners now.	en
Go home.	en
Moving up in the chain.	en
His name is Odi.	en
Fanny is to be a governess to the Trollope family.	en
It's shocking!	en
No, that's not it.	en
Don't come clean.	en
It-- it was a mistake.	en
I manage to blocked the communication for now. But you can't go on using the same methods you used in the army.	en
We'll fix you up. December twenty-fourth ... Eight thousand.	en
Tell me how you are.	en
If I say day is night, it will be written, and you will be what I say you are.	en
I found it near the car.	en
If two people aren't right together, it's misery	en
But you guys have never had sex? No.	en
Tim swims out to me.	en
I serve Your Majesty as I serve God: with all my heart.	en
Where you will prepare yourself.	en
This is me.	en
-	en
What are you trying to do?	en
- Okay, Eddie. We might need Florio.	en
- It's been gone for years.	en
Yo, youngers, wagwan?	en
You cunt!	en
Where is he hiding?	en
[Magistrate] James Michael Cooper.	en
- Boy, you got nerves.	en
Rosetta, you've made me so proud to be a garden fairy.	en
You're safe here.	en
- Sometimes I think I can still smell a kulak here.	en
We are liars and degenerates, and we deserve everything that happens to us.	en
- I'm fine, thank you. I was just going...	en
Or is it something terrible, like Gwendolyn?	en
- Absolutely.	en
- Team spirit and adventure.	en
And the Germans can't match it?	en
You know you'll spoil that fiancé of yours.	en
And now look at you.	en
- What is this?	en
I liked them.	en
Joey D sends his regards.	en
I leave for Dresden at lunchtime tomorrow.	en
Wait.	en
I made a mistake!	en
A wise man.	en
I met Salman.	en
Why would she end her high school career with me?	en
I find your Irish stoicism... - Sexy?	en
- It's my cat's birthday.	en
- No.	en
Go downstairs at once!	en
What are they wearing now?	en
I was looking for someone who was in the bar earlier.	en
- You've lost. - Nine.	en
There they are.	en
Hurry up, everyone.	en
Burning down houses is new.	en
Where are we going, home?	en
No. That's just it. No.	en
Everyone, get back!	en
You really do have a problem.	en
He's probably killed, like, tons of people.	en
Yes?	en
Fully loaded.	en
Nobody can see that, not even you.	en
Thank you.	en
What do you mean, what happened?	en
In jail or dancing at a wedding... these stars are so arrogant.	en
Do you?	en
My sister rules, you mean.	en
"""To know the source of such things is to know our place in the world."""	en
I'm telling you now, mate. - Here. ahh. ahh.	en
I'm back.	en
I thought you said this wasn't your idea.	en
I think it's best we adjourn for a moment.	en
- Can't you? Have you sheep strayed so far?	en
"I said, ""Hey, you know, I'm with you, man. If you wanna do it, let's do it""."	en
I'm so sorry.	en
What are you doing?	en
So I had the doctors test Sammy's response to conditioning.	en
Only one. Go on, scarper.	en
You and Danny are going to love it.	en
- A capital F. She's fine.	en
Mike, big favor.	en
Yeah.	en
I'm sure you noticed that girl who was with me the other day.	en
Jacky Duddy.	en
- Right, yeah, Gates, yeah.	en
I loved you as a kid .	en
Please stop it, you fucking bum. What the fuck?	en
Where does that leave us?	en
Hey, Aoyama.	en
Fleece him.	en
It's a poison pill, Francis.	en
There's been a friendly takeover.	en
Make sure that steak is nice and tenderized.	en
That's right.	en
This is true.	en
─ Because we're gooney Goodnight, dear.	en
I can't give out that fuckin' information?	en
This fat Hun came stumbling through the fog.	en
Don't do something we will all regret!	en
Get something for me to be sick in!	en
That's annoying,	en
The trial will begin shortly.	en
Buzz off. Your licenses in order, pal?	en
I can't hear these stories anymore.	en
This looks like a mind-fuck to me.	en
You're an idiot .	en
That's as far as you go.	en
Why did you help us?	en
Grandma, no!	en
In the war,	en
Oh, betcha you won't believe this.	en
perspective.	en
Let's go, it's bed time!	en
No, go home, check the car, the house, I'll take the train!	en
I saw your friend out there.	en
We're here to dicker with General Ramirez, the big chief of the rebels.	en
I owe you guys my life.	en
Mother!	en
I was forced to confess.	en
Anatoli managed to get three clients back from the South Col last night, but Beck and Yasuko are still out there.	en
Never mind.	en
- I do not know.	en
Bernard, you will end up under the bridge... and what a bridge.	en
Wait here	en
Hello!	en
I'm strong.	en
- Rolodex. - Oh, very nice.	en
You share our desire for a strong nation, powerful.	en
- Where are the others, Kohroku?	en
Oh, not at all. No, no.	en
Why is all of this happening? !	en
I phoned you right away!	en
- I got it.	en
So don't fuckin' spread that word around.	en
Nahoko!	en
What else?	en
It was an accident, almost the same as Kathy.	en
It's the future.	en
You must be exhausted.	en
What?	en
This is wonderful.	en
Whatever are you talking about?	en
I'm 26.	en
I told Daphne I don't know when he'll be in.	en
- You better get a move on.	en
And will remember this... as the last day of the Republic!	en
- I hope it meets his expectations.	en
And then I came up with it.	en
A pederast, actually.	en
This is a matter of some urgency, major.	en
What happened?	en
Captain, the shot was non-damaging.	en
Wait here!	en
-I could always talk to you.	en
Jack.	en
I'm tired.	en
You left the Carala building at 7:30.	en
She's getting out.	en
I just need to get warm.	en
- Excuse me.	en
You see, what I do, Chief, is I trick them to the surface.	en
A field trip?	en
Touch only the frames.	en
You'd like it. I know I did.	en
Rope.	en
But that's the problem with kids today.	en
Tigris, thank you for everything you've done.	en
Hi, is Lucy...?	en
Where's Wickie gone to?	en
I couldn't deny It.	en
Would anybody like one, this week's Big Issue?	en
You know, pictures of Jill, scans, videos, articles.	en
...I hadn't notice.	en
Did you have an accident?	en
- I'm sorry.	en
The priest says there's no sense to a funeral for a man who cursed priests to the end. - We can pray together if we want.	en
No, they ain't. Check it.	en
Urgent from your wife, Monsieur Bontemps, My Lady of Ile de Saint-Louis.	en
So, I re-purposed trash and there's... there's no official crime happening here.	en
Let me stop you right there, Richard.	en
I have to know.	en
Goodbye.	en
They're ugly. They stink.	en
Judge, when they do their jobs recklessly, the public has a right to know.	en
Now, I'm afraid if I fail there's little hope of you recovering your investment but if I succeed	en
"They're like, ""There's LeSoire!"" Short skirts, too much makeup."	en
An advance on your first recording session.	en
- Who is Militina?	en
Go ahead and shoot me.	en
Take it.	en
He was a great actor...	en
Anyone doesn't want to, can get off.	en
Ms. Pinchelow, your car is here.	en
